system:index,LST,NDBI,NDVI,NDWI,.geo
128,27.729718700000035,-0.06464592274678112,0.217064663268044,-0.23832923832923833,"{""type"":""Point"",""coordinates"":[72.90708062155134,33.7493697639168]}"
129,32.52520076000002,-0.043970814132104456,0.17849788663704347,-0.20974560557739375,"{""type"":""Point"",""coordinates"":[73.26443462105009,33.569846905563246]}"
130,33.59504102000005,0.009148527345206344,0.09252466481153554,-0.1438882267249371,"{""type"":""Point"",""coordinates"":[73.10957314952816,33.59373858952254]}"
131,30.37526618000004,-0.06309468822170901,0.24752475247524752,-0.24770509577159378,"{""type"":""Point"",""coordinates"":[73.05608576210389,33.66917501213281]}"
132,28.380851510000014,-0.09836837150925636,0.26611809386020435,-0.2593765177816553,"{""type"":""Point"",""coordinates"":[72.80271480069175,33.79218955321138]}"
133,34.182940460000054,-0.040252310400469414,0.21382355961795213,-0.2291186411300806,"{""type"":""Point"",""coordinates"":[72.9621800027703,33.572547041479766]}"
134,21.82338014000004,-0.1071699384952397,0.22492542878448918,-0.2109846564991015,"{""type"":""Point"",""coordinates"":[73.01551716631558,33.76002993085793]}"
135,25.668652640000005,-0.1374247322991131,0.3442002313597644,-0.32323406604782773,"{""type"":""Point"",""coordinates"":[73.01955421150808,33.75744339578933]}"
136,34.24446482000002,-0.024557729911161064,0.1689356544346268,-0.19342168977205473,"{""type"":""Point"",""coordinates"":[72.95251251907037,33.537706820340766]}"
137,33.712962710000056,0.00312723373838456,0.14524738246766578,-0.18414349395032903,"{""type"":""Point"",""coordinates"":[72.86013521915227,33.57000745576436]}"
138,29.746350500000005,-0.07412800317691443,0.23489575407091767,-0.2297957791838745,"{""type"":""Point"",""coordinates"":[73.16945014492165,33.7197696541053]}"
139,30.071062400000017,-0.10024614349707227,0.2502996924894456,-0.2571139098992087,"{""type"":""Point"",""coordinates"":[73.13934950153171,33.642109428021776]}"
140,31.11697651999998,-0.06918556896442787,0.2396615508589429,-0.2393437820418925,"{""type"":""Point"",""coordinates"":[73.21415704833211,33.507458761699226]}"
141,32.28252134000002,-0.0017297487466651031,0.19623288870216715,-0.218458027244847,"{""type"":""Point"",""coordinates"":[72.9949390909561,33.63831358984121]}"
142,32.73028196000001,-0.019228375855631613,0.1625794087376229,-0.18628232056203375,"{""type"":""Point"",""coordinates"":[72.88311970528596,33.58145764749965]}"
143,35.73130351999998,0.051271322819439975,0.04790344655966156,-0.07212482723503309,"{""type"":""Point"",""coordinates"":[73.01252854971338,33.58051591966996]}"
144,30.470970739999984,-0.10589306621568882,0.2739397572306309,-0.26479449507160124,"{""type"":""Point"",""coordinates"":[73.25760286871224,33.62561010880807]}"
145,34.39143968000002,-0.04173493401650332,0.2070274748032583,-0.210998372407106,"{""type"":""Point"",""coordinates"":[72.94430796561463,33.581708327993226]}"
146,31.626261500000055,-0.06989247311827956,0.24544417037882413,-0.24338429873566597,"{""type"":""Point"",""coordinates"":[73.21506667762237,33.5075052125152]}"
147,31.564737140000034,-0.03681721227858666,0.22279339385322106,-0.2253845310730335,"{""type"":""Point"",""coordinates"":[72.88142634192164,33.67666578488269]}"
148,35.53989439999998,0.042156991411114515,0.06785667837169983,-0.10001004789496601,"{""type"":""Point"",""coordinates"":[72.96092167560036,33.64857155289717]}"
149,31.28616851000004,-0.04014359294521617,0.16103067997700307,-0.18182624270691092,"{""type"":""Point"",""coordinates"":[73.12466238608786,33.52397125175592]}"
150,34.99642921999998,-0.00846745135719433,0.14772921436626457,-0.18148239349913814,"{""type"":""Point"",""coordinates"":[72.87478515726119,33.53853192737964]}"
151,29.847182090000047,-0.07980152046251195,0.2409752014230407,-0.253478950149727,"{""type"":""Point"",""coordinates"":[73.28984629397287,33.577871254881295]}"
152,33.24640298000003,0.013842963627192737,0.15081752779594507,-0.19181793551882959,"{""type"":""Point"",""coordinates"":[72.86778162068991,33.57158115603841]}"
153,28.731198560000053,-0.00688955829282114,0.18132829449226678,-0.20048360714031718,"{""type"":""Point"",""coordinates"":[73.1441560890091,33.749580629104614]}"
154,25.20038390000002,-0.11648431142056244,0.2684350023628033,-0.2528868594622019,"{""type"":""Point"",""coordinates"":[72.95486355623913,33.75832053917128]}"
155,32.87554781000006,-0.01861419350974138,0.15126178426958686,-0.1899513662922921,"{""type"":""Point"",""coordinates"":[73.15390736620172,33.50416568504337]}"
156,29.339606119999985,0.027237798694528158,0.13589512658861203,-0.15763530051672558,"{""type"":""Point"",""coordinates"":[72.9251358284247,33.774269924481864]}"
157,27.136692229999994,-0.02680607126571559,0.1915561099142004,-0.2051762367153452,"{""type"":""Point"",""coordinates"":[73.2032244351436,33.75122894830166]}"
158,31.762982300000033,0.008512284774617915,0.12501371967950828,-0.14461194863204913,"{""type"":""Point"",""coordinates"":[73.17946829956841,33.68085499141608]}"
159,34.51790642000003,0.024705942780831065,0.1649079754601227,-0.21012045121407177,"{""type"":""Point"",""coordinates"":[72.91913332190119,33.5433383815869]}"
160,34.21541165000002,-0.017894130289202784,0.15216471583697644,-0.18450859928596025,"{""type"":""Point"",""coordinates"":[73.02515865635142,33.542848281897776]}"
161,38.24525722999999,0.01197049339635143,0.07524676323548263,-0.11215340504168254,"{""type"":""Point"",""coordinates"":[73.12142867467395,33.55789077525502]}"
162,30.42653647999998,-0.048729372681124546,0.21144086792791178,-0.22357458523509383,"{""type"":""Point"",""coordinates"":[73.06065742993084,33.68982438772146]}"
163,32.50469264000003,-0.0769834264979896,0.2562342713337909,-0.2570011446012972,"{""type"":""Point"",""coordinates"":[72.95410179602803,33.7092488627821]}"
164,33.03277673000002,-0.012787405494539685,0.11450825986476076,-0.13826141688229945,"{""type"":""Point"",""coordinates"":[73.0782679834103,33.667938852995185]}"
165,33.52668061999998,-0.018124411791493367,0.12514258874052203,-0.14555081127241673,"{""type"":""Point"",""coordinates"":[73.13284334007014,33.57286458211114]}"
166,22.41127958000004,-0.15944836135430387,0.29432624113475175,-0.2730211390412998,"{""type"":""Point"",""coordinates"":[73.22349310248048,33.79767055721529]}"
167,34.50765236000001,-0.0197177833847304,0.14070666945431737,-0.1548719396034714,"{""type"":""Point"",""coordinates"":[73.02900086867666,33.54821442232705]}"
168,29.82154694000002,-0.07614275238328037,0.2583964556238388,-0.24615221314085553,"{""type"":""Point"",""coordinates"":[73.02977835671688,33.71250774542697]}"
169,34.05134669000006,-0.037076707588366155,0.09542665680344632,-0.14069509266391772,"{""type"":""Point"",""coordinates"":[73.11326930873547,33.62497392926756]}"
170,34.51790642000003,-0.06177035148997766,0.20835123907749606,-0.23208938873877163,"{""type"":""Point"",""coordinates"":[72.9113745203335,33.674149830415125]}"
171,33.719798749999995,-0.044710538185098424,0.23296186273331387,-0.24763691965526827,"{""type"":""Point"",""coordinates"":[73.28705707860045,33.681780082482575]}"
172,31.573282189999986,-0.044602436254453245,0.20156758884792958,-0.2210583742498636,"{""type"":""Point"",""coordinates"":[73.23798518749305,33.573256891052345]}"
173,30.580347380000035,-0.10514441155292423,0.2638571193295149,-0.2553574349746442,"{""type"":""Point"",""coordinates"":[73.0063859282883,33.686916959506256]}"
174,26.519739619999996,-0.15747203965427994,0.3497100839567595,-0.3177726980498607,"{""type"":""Point"",""coordinates"":[73.04909904060149,33.73193870280353]}"
175,26.193318710000028,-0.12234394318410535,0.33047020127136695,-0.3272356341380483,"{""type"":""Point"",""coordinates"":[73.10372150273274,33.791845475540065]}"
176,32.220996979999995,0.0061468780329990294,0.11642658913704242,-0.16822236050611905,"{""type"":""Point"",""coordinates"":[73.23310594253995,33.57154534327466]}"
177,30.447044600000027,-0.038745834595577094,0.20097369619277783,-0.2170656822900953,"{""type"":""Point"",""coordinates"":[73.12877136756042,33.65886017504724]}"
178,32.79351532999999,-0.01699845184293243,0.1484019071163694,-0.17377179366855575,"{""type"":""Point"",""coordinates"":[72.92670969277268,33.707143050005136]}"
179,33.945388070000035,-0.028125760155679882,0.1776814168538739,-0.20453128617993338,"{""type"":""Point"",""coordinates"":[72.92407764134128,33.5467867885985]}"
